"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Adam Kolarek","Dodgers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10843"
"Kevin Kiermaier","Rays","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",".000","11038"
"Kole Calhoun","Diamondbacks","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11200"
"Whit Merrifield","Royals","1","4","5","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0",".000","11281"
"Drew Pomeranz","Padres","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11426"
"Brandon Workman","Red Sox","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11428"
"Gary Sanchez","Yankees","1","3","4","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0",".000","11442"
"Robbie Ray","Diamondbacks","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11486"
"Brandon Drury","Blue Jays","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11615"
"Heath Hembree","Red Sox","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11632"
"Luke Jackson","Braves","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11752"
"Hansel Robles","Angels","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11801"
"Niko Goodrum","Tigers","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12092"
"Nick Ahmed","Diamondbacks","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12147"
"Eddie Rosario","Twins","1","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","12155"
"Miguel Sano","Twins","1","3","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","12164"
"Maikel Franco","Royals","1","5","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","12179"
"Kevin Pillar","Red Sox","1","4","5","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","12434"
"C.J. Cron","Tigers","1","3","4","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","12546"
