"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47801-118179","P","Philip","Philip Pfeifer","Pfeifer","0","0","5500","TOR@ATL","ATL","TOR","IL","Elbow","","","0"
"47801-118183","P","Nivaldo","Nivaldo Rodriguez","Rodriguez","2.6666666666666665","3","5500","HOU@ARI","HOU","ARI","","","","","0"
"47801-118185","P","Matt","Matt Foster","Foster","13.5","2","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-118184","P","Enoli","Enoli Paredes","Paredes","3.4","5","5500","HOU@ARI","HOU","ARI","","","","","0"
"47801-57770","P","Alex","Alex Claudio","Claudio","3.5","2","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-101803","P","Jacob","Jacob Webb","Webb","5.277777777777778","36","5500","TOR@ATL","ATL","TOR","IL","Shoulder","","","0"
"47801-118186","P","Jimmy","Jimmy Lambert","Lambert","6","2","5500","MIL@CWS","CWS","MIL","IL","Forearm","","","0"
"47801-101804","P","Huascar","Huascar Ynoa","Ynoa","0","2","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-65968","P","Silvino","Silvino Bracho","Bracho","0","0","5500","HOU@ARI","ARI","HOU","IL","Elbow","","","0"
"47801-101810","P","Justin","Justin Steele","Steele","0","0","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-101816","P","Bryan","Bryan Abreu","Abreu","4","4","5500","HOU@ARI","HOU","ARI","","","","","0"
"47801-101826","P","Jordan","Jordan Holloway","Holloway","1","1","5500","BAL@MIA","MIA","BAL","IL","Undisclosed","","","0"
"47801-118221","P","J.P.","J.P. Feyereisen","Feyereisen","3","1","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-101847","P","Yennsy","Yennsy Diaz","Diaz","-4","1","5500","TOR@ATL","TOR","ATL","IL","Lat","","","0"
"47801-80344","P","Sam","Sam Gaviglio","Gaviglio","-1.5","2","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-116194","P","Eric","Eric Yardley","Yardley","4.25","4","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-85489","P","Jimmy","Jimmy Cordero","Cordero","3.1666666666666665","6","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-95737","P","Ian","Ian Hamilton","Hamilton","3","1","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-53767","P","Dan","Dan Winkler","Winkler","5.5","2","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-95756","P","Rowan","Rowan Wick","Wick","4.25","4","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-13838","P","Justin","Justin Miller","Miller","3.823529411764706","17","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-101904","P","Jordan","Jordan Romano","Romano","8.4","5","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-101909","P","Travis","Travis Bergen","Bergen","4.238095238095238","21","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-95774","P","Jeff","Jeff Brigham","Brigham","0","1","5500","BAL@MIA","MIA","BAL","IL","Undisclosed","","","0"
"47801-119339","P","Tyler","Tyler Ivey","Ivey","0","0","5500","HOU@ARI","HOU","ARI","","","","","0"
"47801-23086","P","Justin","Justin Grimm","Grimm","-3","1","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-12848","P","Hector","Hector Rondon","Rondon","3.8","5","5500","HOU@ARI","ARI","HOU","","","","","0"
"47801-80446","P","Drew","Drew Steckenrider","Steckenrider","3.6666666666666665","15","5500","BAL@MIA","MIA","BAL","IL","Triceps","","","0"
"47801-85582","P","Chad","Chad Sobotka","Sobotka","3","1","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-16982","P","Ryan","Ryan Tepera","Tepera","6","3","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-16986","P","Alex","Alex Colome","Colome","4.8","5","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-85595","P","Justin","Justin Shafer","Shafer","6","1","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-85594","P","Jake","Jake Newberry","Newberry","6","4","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-81507","P","Aaron","Aaron Bummer","Bummer","9.333333333333334","6","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-80482","P","Randy","Randy Rosario","Rosario","3.8421052631578947","19","5500","CHC@KAN","KAN","CHC","IL","Arm","","","0"
"47801-17002","P","Evan","Evan Marshall","Marshall","7.833333333333333","6","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-82547","P","Thomas","Thomas Hatch","Hatch","10.333333333333334","3","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-118393","P","Stephen","Stephen Woods Jr.","Woods Jr.","0","0","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-52857","P","Kyle","Kyle Ryan","Ryan","1.6","5","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-118395","P","Dany","Dany Jimenez","Jimenez","2","2","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-52865","P","Corey","Corey Knebel","Knebel","4.25","4","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-62087","P","Miguel","Miguel Castro","Castro","7.166666666666667","6","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-17037","P","Trevor","Trevor Rosenthal","Rosenthal","5.2","5","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-12943","P","Shelby","Shelby Miller","Miller","5.368421052631579","19","5500","MIL@CWS","MIL","CWS","DTD","Opt out","","","0"
